大兴安岭地区,大兴安岭地区,大兴安岭地区,52.50385526,123.6300438
黑河,黑河,黑河市,50.24348112,127.52133
呼伦贝尔,呼伦贝尔,呼伦贝尔市,49.21020445,119.7583256
阿尔泰,新疆阿勒泰地区,阿勒泰地区,47.84564,88.14023
阿勒泰地区,阿勒泰地区,阿勒泰地区,47.84367498,88.1379254
伊春,伊春,伊春市,47.7251199,128.83408
齐齐哈尔,齐齐哈尔,齐齐哈尔市,47.35218667,123.9111564
鹤岗,鹤岗,鹤岗市,47.34749911,130.2902681
佳木斯,佳木斯,佳木斯市,46.79707231,130.3127807
塔城地区,塔城地区,塔城地区,46.74451919,82.97740714
绥化,绥化,绥化市,46.65189224,126.9623091
双鸭山,双鸭山,双鸭山市,46.64459679,131.1509464
大庆,大庆,大庆市,46.58588703,125.095366
五国城,黑龙江依兰,依兰县,46.32489,129.56859
兴安盟,兴安盟,兴安盟,46.08011865,122.0317434
哈尔滨,哈尔滨,哈尔滨市,45.80124885,126.5288447
七台河,七台河,七台河市,45.76812547,130.9974304
白城,白城,白城市,45.61760864,122.8327867
克拉玛依,克拉玛依,克拉玛依市,45.57907454,84.8868973
会宁,黑龙江阿城,阿城区,45.54774,126.95717
出河店,黑龙江肇源,肇源县,45.5183,125.07795
鸡西,鸡西,鸡西市,45.29308856,130.9619896
松原,松原,松原市,45.13930311,124.8188151
博尔塔拉蒙古自治州,博尔塔拉蒙古自治州,博尔塔拉蒙古自治州,44.912209,82.07291
双城子,牡丹江市,牡丹江市,44.55269,129.63244
牡丹江,牡丹江,牡丹江市,44.54845496,129.6261122
扶余,吉林农安,农安县,44.43195,125.18512
昌吉回族自治州,昌吉回族自治州,昌吉回族自治州,44.00979997,87.30527771
西楼,内蒙古巴林左旗,巴林左旗,43.97094,119.37961
锡林郭勒盟,锡林郭勒盟,锡林郭勒盟,43.93089998,116.0410619
伊犁哈萨克自治州,伊犁哈萨克自治州,伊犁哈萨克自治州,43.91559626,81.32099266
宁远,伊宁市,伊宁市,43.9095,81.27725
打牲乌拉,吉林省吉林市,吉林市,43.83784,126.54944
吉林,吉林,吉林市,43.83550931,126.5436831
乌鲁木齐,乌鲁木齐,乌鲁木齐市,43.82329276,87.61517185
长春,长春,长春市,43.81377667,125.3171699
阿尔泰乌梁海,新疆,新疆维吾尔自治区,43.79343,87.6271
通辽,通辽,通辽市,43.64966828,122.2380391
松漠,内蒙古自治区赤峰市巴林右旗,巴林右旗,43.53391,118.66466
四平,四平,四平市,43.16354912,124.3440511
吐鲁番,吐鲁番,吐鲁番市,42.957027,89.19727
安西都护府,新疆吐鲁番,吐鲁番市,42.9513,89.18954
西州,吐鲁番,吐鲁番市,42.9513,89.18954
延边朝鲜族自治州,延边朝鲜族自治州,延边朝鲜族自治州,42.90681252,129.4636699
辽源,辽源,辽源市,42.88524953,125.1373533
伊州,新疆哈密,哈密市,42.81855,93.51538
哈密,哈密,哈密市,42.81832313,93.51309171
赤峰,赤峰,赤峰市,42.25360984,118.8826907
上都,内蒙古正蓝旗,正蓝旗,42.24162,115.99239
铁岭,铁岭,铁岭市,42.2214023,123.7198948
阜新,阜新,阜新市,42.01952822,121.6649599
白山,白山,白山市,41.93145532,126.4170569
抚顺,抚顺,抚顺市,41.87747818,123.9520979
辽州,辽宁,辽宁省,41.83571,123.42925
辽西,辽宁,辽宁省,41.83571,123.42925
